cme_symbol,crypto_symbol,window_ms,horizon_ms,sample_count,correlation,hit_rate,average_forward_return_bps,estimated_fee_bps,estimated_slippage_bps,net_forward_return_bps
BTC,ETH,100,100,209,-0.04278372122194804,0.009569377990430622,-0.0157568312876017,5.0,2.0,-7.015756831287602
BTC,ETH,100,250,208,-0.04026290655514953,0.02403846153846154,0.001457471930131306,5.0,2.0,-6.998542528069868
BTC,ETH,100,500,205,-0.032635094385012636,0.02926829268292683,0.04534031726877434,5.0,2.0,-6.954659682731226
BTC,ETH,100,1000,200,-0.015519328821468685,0.04,0.12140426012438033,5.0,2.0,-6.878595739875619
BTC,ETH,100,3000,180,-0.024216279258986655,0.016666666666666666,0.3147494359282163,5.0,2.0,-6.685250564071784
BTC,ETH,100,5000,160,-0.03678901259630318,0.025,0.4084357129798613,5.0,2.0,-6.591564287020138
BTC,ETH,250,100,82,0.01676289896261079,0.036585365853658534,0.036551519395200134,5.0,2.0,-6.9634484806048
BTC,ETH,250,250,82,0.01676289896261079,0.036585365853658534,0.036551519395200134,5.0,2.0,-6.9634484806048
BTC,ETH,250,500,81,0.003204006798203825,0.04938271604938271,0.07400521267807038,5.0,2.0,-6.92599478732193
BTC,ETH,250,1000,79,0.026964924463986826,0.05063291139240506,0.15175763834122719,5.0,2.0,-6.848242361658773
BTC,ETH,250,3000,71,0.010028179816529297,0.04225352112676056,0.35462320866007657,5.0,2.0,-6.645376791339923
BTC,ETH,250,5000,63,0.015113768155704211,0.06349206349206349,0.4520066432736129,5.0,2.0,-6.547993356726387
BTC,ETH,500,100,41,-0.010220266122938937,0.04878048780487805,0.0731028196487036,5.0,2.0,-6.926897180351296
BTC,ETH,500,250,41,-0.010220266122938937,0.04878048780487805,0.0731028196487036,5.0,2.0,-6.926897180351296
BTC,ETH,500,500,41,-0.010220266122938937,0.04878048780487805,0.0731028196487036,5.0,2.0,-6.926897180351296
BTC,ETH,500,1000,40,0.05246068574636268,0.1,0.14986055555182842,5.0,2.0,-6.850139444448171
BTC,ETH,500,3000,36,0.01493159191298496,0.05555555555555555,0.3830009554190192,5.0,2.0,-6.6169990445809805
BTC,ETH,500,5000,32,0.02531797561704849,0.0625,0.4683576102101558,5.0,2.0,-6.531642389789845
BTC,ETH,1000,100,20,0.05704921547755481,0.1,0.14985943258533085,5.0,2.0,-6.85014056741467
BTC,ETH,1000,250,20,0.05704921547755481,0.1,0.14985943258533085,5.0,2.0,-6.85014056741467
BTC,ETH,1000,500,20,0.05704921547755481,0.1,0.14985943258533085,5.0,2.0,-6.85014056741467
BTC,ETH,1000,1000,20,0.05704921547755481,0.1,0.14985943258533085,5.0,2.0,-6.85014056741467
BTC,ETH,1000,3000,18,0.1939680580330147,0.05555555555555555,0.4162996577426902,5.0,2.0,-6.58370034225731
BTC,ETH,1000,5000,16,0.03688518196662817,0.0625,0.5620295813310583,5.0,2.0,-6.437970418668941
BTC,ETH,3000,100,6,-0.2548264526351359,0.0,0.4995613853912376,5.0,2.0,-6.500438614608762
BTC,ETH,3000,250,6,-0.2548264526351359,0.0,0.4995613853912376,5.0,2.0,-6.500438614608762
BTC,ETH,3000,500,6,-0.2548264526351359,0.0,0.4995613853912376,5.0,2.0,-6.500438614608762
BTC,ETH,3000,1000,6,-0.2548264526351359,0.0,0.4995613853912376,5.0,2.0,-6.500438614608762
BTC,ETH,3000,3000,6,-0.2548264526351359,0.0,0.4995613853912376,5.0,2.0,-6.500438614608762
BTC,ETH,3000,5000,5,,0.0,1.1989760754667067,5.0,2.0,-5.801023924533293
BTC,ETH,5000,100,3,,0.0,0.9991437339011238,5.0,2.0,-6.000856266098876
BTC,ETH,5000,250,3,,0.0,0.9991437339011238,5.0,2.0,-6.000856266098876
BTC,ETH,5000,500,3,,0.0,0.9991437339011238,5.0,2.0,-6.000856266098876
BTC,ETH,5000,1000,3,,0.0,0.9991437339011238,5.0,2.0,-6.000856266098876
BTC,ETH,5000,3000,3,,0.0,0.9991437339011238,5.0,2.0,-6.000856266098876
BTC,ETH,5000,5000,3,,0.0,0.9991437339011238,5.0,2.0,-6.000856266098876
